#SpeciesID	Snow1	Snow2	Snow3	Snow4	Snow5	Snow6	Snow7	Snow8	SupC1	SupC2	SupC3	SupC4	SupC5	SupS1	SupS2	SupS3	ProW1	ProW2	ProW3	ProW4	ProW5	ProW6	ProW7	ProW8	ProS1	ProS2	ProS3	ProS4	ProS5	ProS6	ProS7	ProS8	SupS4	SupS5	SupS6	SupS7	SubS1	SubS2	SubS3	SubM1	SubM2	SubM3
ASV53	0	0	0	0	0	0	0	0	25	10	19	5433	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV54	0	0	0	0	0	0	0	0	1018	329	1103	1510	538	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	84	26	30	28	283	74	428	6	7	16
ASV55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	36	0	0	0	50	0	225	58	97	134	41	61	77	131	10	0	0	0	806	524	2819	0	0	0
ASV56	120	100	55	31	11	0	0	0	0	0	0	0	0	863	22	29	283	455	374	213	405	338	515	361	11	4	0	0	0	0	0	0	151	95	0	177	0	0	0	46	312	80
ASV57	0	0	0	0	13	50	4255	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	14
ASV58	11	15	7	15	8	13	23	21	16	8	15	8	11	0	0	0	0	0	0	0	0	0	0	0	601	951	727	133	128	1039	114	53	10	7	10	0	0	0	0	304	135	12
ASV59	0	0	0	0	0	0	0	20	8	0	22	13	19	21	17	0	0	39	53	19	33	31	53	0	78	315	155	308	95	130	72	199	0	0	0	0	1392	589	618	0	0	19
ASV60	0	18	3	41	15	0	11	0	0	0	0	0	0	21	25	63	87	102	350	173	177	101	519	444	9	0	0	14	9	0	7	0	170	346	336	289	0	0	0	231	639	77
ASV61	0	14	0	0	10	0	0	9	0	0	0	0	0	0	27	0	52	53	147	193	31	32	863	53	211	385	221	580	148	43	699	289	17	0	25	0	12	88	42	0	0	9
ASV62	0	0	0	0	0	0	0	0	338	493	1188	962	882	0	0	0	0	0	0	0	0	0	0	0	10	13	0	30	0	0	0	26	23	0	0	12	99	16	104	0	4	3
ASV63	0	31	0	81	107	42	3432	96	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	11	3	8	0	0	5	5	34	6	89	4	0	0	0	60	21	66
ASV64	0	0	0	0	0	0	0	0	11	19	12	7	0	0	0	0	17	18	37	29	15	33	111	51	0	30	15	0	0	24	305	61	0	0	0	0	348	330	2643	0	0	0
ASV65	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	518	248	0	0	527	824	17	0	0	15	14	0	0	0	55	355	561	820	0	0	0	0	152	0
ASV66	0	8	6	0	13	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	170	28	30	52	14	2240	354	16	8	0	0	0	0	0	0	0	8
ASV67	0	85	5	10	103	7	5	59	0	0	0	0	0	1165	7	67	3	28	14	25	14	89	453	239	10	8	9	8	9	6	7	7	0	8	535	196	0	0	0	108	504	88
ASV68	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	4	0	0	11	15	130	587	359	746	64	134	400	1343	0	0	0	5	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	12	7	25	16	22	133	35	161	84	164	92	98	124	109	454	124	35	176	90	95	20	23	166	191	0	8	12	14	192	268	729	24	6	0
ASV70	0	0	0	0	0	21	13	50	0	0	0	0	0	56	0	15	24	32	1518	317	154	48	1167	76	0	0	0	0	0	0	0	0	15	38	13	35	0	0	0	12	0	11
ASV71	36	196	51	34	226	139	134	172	69	107	68	33	31	129	0	22	14	0	30	0	0	0	0	0	37	22	44	37	40	29	33	49	512	855	176	71	103	0	0	41	0	18
ASV72	0	0	0	0	0	0	0	0	0	0	0	0	0	92	77	69	237	215	256	199	221	652	694	89	0	0	0	0	0	0	0	0	129	0	31	189	0	0	0	58	60	80
ASV73	23	372	0	0	433	92	89	60	0	0	0	0	0	720	168	1247	12	15	15	0	0	9	0	0	17	9	0	0	10	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV74	17	11	17	30	22	15	19	0	0	0	0	0	0	0	0	0	0	0	41	42	27	0	26	27	99	292	397	1081	500	144	145	128	15	0	12	29	32	0	87	25	0	16
ASV75	20	31	304	83	0	0	10	11	0	0	0	0	0	487	20	52	101	96	111	121	38	287	192	345	19	0	0	0	0	0	0	0	119	53	125	270	0	0	0	81	207	58
ASV76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	28	52	28	0	80	71	61	16	25	75	0	0	0	0	0	342	874	1482	0	0	25
ASV77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	458	624	44	173	175	649	220	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV78	0	124	0	0	70	0	0	0	737	252	461	544	306	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	72	268	0	0	0	0	166	45	0	0	0	43
ASV79	0	0	0	0	0	0	0	0	0	0	0	15	23	0	8	13	32	47	116	74	101	53	437	78	31	78	25	173	16	10	286	254	0	0	8	0	90	91	1011	0	8	0
ASV80	0	0	0	0	6	0	0	0	357	109	441	480	269	52	18	39	16	24	22	10	11	15	18	19	66	45	9	17	16	21	184	168	82	0	85	132	18	55	0	20	43	24
ASV81	0	2	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1773	580	315	24	3	19	111	3	0	5	0	0	0	0	0	0	0
ASV82	20	22	5	0	96	21	128	42	0	0	0	0	0	234	76	129	35	57	108	274	53	33	113	73	0	11	9	0	9	0	0	0	280	448	179	116	0	0	0	92	59	76
ASV83	0	0	0	0	7	0	0	0	0	0	0	0	0	214	14	85	129	411	152	110	60	491	253	185	0	0	0	0	0	0	0	0	219	0	181	23	0	0	0	21	132	17
ASV84	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	31	18	24	73	51	65	0	10	102	89	0	0	0	0	561	892	741	5	0	14
ASV85	0	0	0	0	0	0	0	0	2639	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	310	151	218	209	467	659	318	0	0	0	6	0	0	0	0	0	0	0	0	0	41	0	0	0	0
ASV87	0	0	0	2	8	3	0	0	0	0	0	0	0	0	6	13	3	0	0	5	0	0	11	0	16	31	49	654	1415	286	22	16	0	0	0	6	0	0	0	6	4	4
ASV88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	2378	0	0	0	20	0	0	0	0
ASV89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	220	152	139	127	37	0	212	288	0	0	0	0	56	587	719	7	0	0
ASV90	17	92	0	0	81	41	28	33	147	112	171	363	171	125	37	61	20	22	16	18	19	14	45	23	36	39	25	84	58	25	85	0	41	33	17	21	137	103	150	9	6	15
ASV91	0	0	0	0	0	0	0	0	0	2539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	25	0	0	0	0	68	2306	0	0	0	0	0	0	0	0	0	0
ASV93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1931	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109
ASV94	0	0	0	0	26	0	0	0	0	0	0	57	39	84	75	208	0	0	0	0	0	0	0	0	76	30	0	18	0	0	0	0	1117	84	352	223	0	0	0	0	58	0
ASV95	0	0	0	0	0	0	0	0	342	94	533	921	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	4	3	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	0	367	33	122	254	195	206	127	97	116	172	184	0	0	0	0	0	0	0	0	52	15	89	153	0	0	0	66	72	22
ASV97	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	5	3	0	0	4	737	481	24	979	3	0	0	0	0	0
ASV98	0	0	0	0	4	0	0	0	0	0	0	0	0	345	0	14	16	25	68	20	0	141	295	908	0	0	0	0	0	0	0	0	15	57	92	61	0	0	0	13	146	6
ASV99	0	9	0	0	9	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	127	24	33	10	25	1149	33	0	0	5	0	60	71	625	0	5	0
ASV100	0	0	0	0	0	0	0	0	10	1511	0	15	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV101	0	172	40	28	137	76	103	95	0	0	0	0	0	82	26	31	0	0	0	0	28	0	0	0	38	143	74	83	34	33	255	244	0	0	0	0	141	204	98	0	0	0
ASV102	46	129	25	31	84	34	77	40	85	77	49	69	45	265	77	103	22	22	18	21	26	21	37	20	8	10	28	13	8	0	0	15	41	37	209	86	25	27	0	55	62	33
ASV103	0	0	0	9	14	0	32	38	0	0	0	0	0	954	25	74	129	254	32	100	111	31	13	82	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	45	64	33
ASV104	0	0	0	0	3	0	0	0	0	0	0	0	3	15	0	10	98	142	67	70	31	145	117	218	19	85	166	100	24	16	52	65	0	0	0	0	111	239	264	0	0	0
ASV105	0	0	0	0	0	0	0	0	0	0	0	0	0	16	30	88	26	28	55	27	39	1594	55	30	0	0	0	5	0	0	0	0	53	0	0	6	0	0	0	0	0	0
ASV106	0	52	0	0	494	299	182	207	0	263	0	0	34	27	0	22	33	40	0	0	21	36	36	77	0	0	0	0	0	0	18	12	18	0	0	0	17	0	0	30	20	50
ASV107	160	52	211	78	88	68	304	170	0	0	0	0	0	51	0	17	22	44	68	54	37	51	26	17	16	8	15	9	17	9	7	14	42	40	92	30	0	0	0	69	44	53
ASV108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	207	18	59	0	0	151	812	0	0	0	0	91	0	600	0	0	0
ASV109	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	122	39	0	0	0	0	322	801	653	0	0	0
ASV110	0	10	4	0	11	4	0	0	117	122	297	270	264	155	111	191	24	22	29	14	0	33	17	25	14	20	25	0	0	2	23	41	18	0	14	17	10	8	0	13	15	6
ASV111	0	0	0	0	12	58	0	20	19	30	23	165	25	186	7	50	13	28	30	23	0	46	245	29	0	0	0	0	0	0	0	0	0	0	0	35	63	691	83	58	0	0
ASV112	0	0	9	5	0	0	0	7	13	0	10	15	15	38	32	46	25	29	34	29	24	41	59	29	249	89	65	71	80	42	650	94	13	13	16	19	15	36	12	7	0	0
ASV113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	11	41	0	0	0	0	457	78	1265	0	0	0
ASV114	0	0	0	0	9	19	11	22	0	0	0	0	0	0	0	0	12	16	139	48	21	0	186	0	43	169	117	143	42	27	20	119	0	0	0	0	193	282	266	0	0	0
ASV115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	33	0	19	0	0	29	1059	0	167	49	38	113	0	0	263	93	0	0	0	0	0	0	0	0	0	0
ASV116	0	0	0	0	0	0	0	0	219	284	208	445	441	0	0	0	0	16	14	19	0	0	0	0	0	0	0	0	0	0	0	0	53	0	49	9	25	15	0	11	18	75
ASV117	16	42	0	0	53	48	38	55	118	105	85	82	81	131	75	109	49	37	18	21	0	25	41	32	19	14	0	5	0	0	8	11	37	15	252	77	30	37	0	34	51	39
ASV118	0	0	0	0	0	0	0	0	15	44	17	1638	110	0	0	0	7	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
ASV119	85	0	0	0	0	0	0	0	0	0	0	0	0	15	28	66	98	194	206	103	102	228	197	47	0	0	0	0	0	0	0	0	110	48	16	92	0	0	0	0	145	85
ASV120	0	68	0	24	300	113	48	53	0	0	0	0	0	390	230	362	21	26	25	21	0	0	0	0	0	9	0	9	17	0	0	20	0	0	0	0	0	41	72	0	0	0
ASV121	13	16	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	263	316	325	55	88	438	75	21	0	0	18	0	0	0	0	153	38	0
ASV122	0	0	0	0	0	0	0	0	74	61	155	457	967	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	5	0	6	0	31	0	23	18	13	0	12	0
ASV123	0	15	0	0	17	0	0	0	53	37	56	48	0	105	74	95	19	22	0	19	0	19	0	0	0	0	0	0	0	0	29	0	208	47	310	342	0	21	0	77	130	86
ASV124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	98	330	655	249	238	40	177	0	0	0	0	0	0	0	0	0	0
ASV125	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	44	248	171	0	111	66	71	47	152	20	0	0	23	9	0	45	95	19	0	23	0	124	174	243	26	17	22
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	160	183	105	277	153	264	295	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV127	0	0	0	0	0	0	0	0	173	44	225	296	163	0	9	12	0	0	17	0	0	0	31	28	0	50	18	67	146	120	97	137	10	0	17	45	0	0	0	15	16	16
ASV128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	102	126	0	60	147	94	0	0	0	0	130	523	292	0	0	0
ASV129	0	13	0	9	0	6	26	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	231	203	216	39	68	630	37	21	8	0	0	0	0	0	0	152	31	0
ASV130	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	1638	6	12	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV131	0	0	0	0	0	0	0	15	0	0	0	0	0	52	120	101	171	171	150	196	171	186	169	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV132	0	14	0	0	37	24	0	0	82	224	95	42	101	0	0	0	0	0	0	24	0	56	49	68	21	0	0	21	0	0	0	0	158	291	13	0	340	0	0	0	0	0
ASV133	0	0	0	0	30	19	16	12	0	56	0	15	34	102	0	20	26	30	20	17	11	38	27	33	49	20	0	0	0	0	64	39	111	144	0	23	145	148	367	0	20	14
ASV134	13	32	155	79	81	31	254	123	0	0	0	0	0	70	6	24	0	22	0	29	14	19	11	20	50	64	41	18	33	111	14	14	38	30	27	32	0	0	0	87	54	44
ASV135	0	6	0	0	11	0	18	22	64	193	55	23	58	0	0	0	26	20	0	15	16	24	14	35	34	18	21	28	16	7	322	29	29	0	0	19	288	0	199	13	0	0
ASV136	0	27	0	0	89	22	22	0	12	24	21	11	14	161	50	76	0	26	38	20	18	13	52	30	32	48	13	26	36	0	12	59	53	40	98	51	40	171	133	0	27	24
ASV137	0	73	0	0	117	32	12	18	48	29	77	68	23	240	120	145	0	25	23	21	34	0	43	0	0	0	0	14	0	0	12	21	0	0	55	69	19	15	0	67	90	68
ASV138	14	11	89	86	46	15	107	49	0	0	0	0	0	162	36	119	39	40	52	80	74	30	48	0	0	0	11	0	14	0	0	0	71	43	77	34	0	0	0	72	38	111
ASV139	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	24	0	0	15	9	104	216	201	376	81	54	96	366	0	0	0	0	0	0	0	0	0	0
ASV140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	213	411	208	21	0	45	80	0	0	0	0	43	204	292	0	0	0
ASV141	9	1059	0	0	37	6	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	10	0	0	12	24	145	17	48	0	0	85	0	46	0
ASV142	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	314	305	358	0	0	133	345	0	0	0	0	0	0	0	0	0	0
ASV143	0	0	0	0	7	0	0	0	20	0	18	0	19	24	9	8	0	10	3	9	0	0	14	0	28	41	30	390	202	591	27	34	4	0	8	10	0	0	0	0	0	8
ASV144	0	929	0	0	205	0	0	3	0	0	0	25	4	0	17	10	0	0	0	0	0	10	7	7	0	0	10	0	0	6	0	0	34	43	0	150	10	0	0	9	11	21
ASV145	0	0	0	0	28	0	0	0	46	309	34	38	35	0	34	37	34	33	19	0	0	49	137	87	112	50	0	0	0	0	17	109	14	0	0	0	104	0	136	0	0	18
ASV146	0	0	0	102	49	92	0	56	0	0	0	0	0	36	57	49	106	72	57	0	127	75	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	165	290
ASV147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	17	34	94	31	283	0	0	0	0	0	0	0	0	0	0
ASV148	12	0	20	15	14	6	18	0	0	0	0	0	0	180	41	148	66	42	31	35	93	132	47	51	0	0	0	0	5	0	6	0	116	52	99	147	0	0	0	21	24	31
